SI#	GENE	GDS	ORGANISM	SAMPLE
1	KRT7	GDS3627	Homo sapiens	58
2	ROBO1	GDS5247	Homo sapiens	6
3	GJA5	GDS5247	Homo sapiens	6
4	FADS2	GDS5247	Homo sapiens	6
5	HMOX1	GDS5040	Homo sapiens	6
6	SOX2	GDS3627	Homo sapiens	58
7	ADGRD1	GDS5247	Homo sapiens	6
8	KIAA1324L	GDS5247	Homo sapiens	6
9	FST	GDS5247	Homo sapiens	6
10	HPGDS	GDS5247	Homo sapiens	6
11	COL3A1	GDS5247	Homo sapiens	6
12	SENP2	GDS5040	Homo sapiens	6
13	SPINK1	GDS3627	Homo sapiens	58
14	S100A2	GDS3627	Homo sapiens	58
15	ATP11A	GDS5247	Homo sapiens	6
16	AGR2	GDS3627	Homo sapiens	58
17	KRT17	GDS3627	Homo sapiens	58
18	HSPA13	GDS5040	Homo sapiens	6
19	KRT17	GDS3627	Homo sapiens	58
20	ALDH1A1	GDS5247	Homo sapiens	6
21	SLPI	GDS5247	Homo sapiens	6
22	MYH10	GDS5247	Homo sapiens	6
23	FAM107B	GDS5247	Homo sapiens	6
24	TNS4	GDS5040	Homo sapiens	6
25	PGM2L1	GDS5040	Homo sapiens	6
26	None	GDS3627	Homo sapiens	58
27	CA2	GDS5247	Homo sapiens	6
28	ACY1	GDS5040	Homo sapiens	6
29	PRICKLE1	GDS5247	Homo sapiens	6
30	RAB3B	GDS5040	Homo sapiens	6
31	TMC5	GDS3627	Homo sapiens	58
32	COL4A5	GDS3627	Homo sapiens	58
33	IGFBP3	GDS5247	Homo sapiens	6
34	ADARB1	GDS5247	Homo sapiens	6
35	ACP6	GDS5247	Homo sapiens	6
36	PLAT	GDS5247	Homo sapiens	6
37	IL1R1	GDS5247	Homo sapiens	6
38	IGF2BP1	GDS5247	Homo sapiens	6
39	TFPI2	GDS3627	Homo sapiens	58
40	UGT1A3	GDS3627	Homo sapiens	58
41	UGT1A1	GDS3627	Homo sapiens	58
42	TRIM29	GDS3627	Homo sapiens	58
43	FAM83A	GDS5247	Homo sapiens	6
44	ANTXR2	GDS5247	Homo sapiens	6
45	EPHA4	GDS5247	Homo sapiens	6
46	SH2D2A	GDS5247	Homo sapiens	6
47	ETS2	GDS5040	Homo sapiens	6
48	PON3	GDS3627	Homo sapiens	58
49	CD24	GDS5247	Homo sapiens	6
50	PHLDB2	GDS5247	Homo sapiens	6
